Wafer_ID,Yield_%,Defect_Density,Temperature,Pressure,Process_Time,Thickness,Resistivity,Param_1,Param_2,Param_3
W0001,95.2,0.12,350.5,100.2,120.5,501.2,10.1,5.2,6.3,4.8
W0002,94.8,0.15,351.2,99.8,121.2,502.1,10.2,5.1,6.2,4.9
W0003,85.3,0.48,360.1,105.3,130.1,520.5,12.1,15.2,16.1,14.8
W0004,86.1,0.52,359.8,104.9,129.8,519.8,12.0,15.3,16.2,14.7
W0005,75.2,1.05,370.2,110.1,140.2,540.1,14.1,25.1,26.2,24.9
W0006,74.8,1.12,369.9,109.8,139.9,539.5,14.0,25.2,26.1,25.0
W0007,65.1,2.01,380.1,115.2,150.1,560.2,16.1,35.2,36.1,34.8
W0008,64.9,2.05,379.8,114.9,149.8,559.8,16.0,35.1,36.2,34.9
W0009,93.5,0.18,352.1,101.1,122.1,503.2,10.5,6.8,7.2,5.9
W0010,87.2,0.45,358.5,103.5,128.5,518.2,11.8,14.5,15.2,13.9
